,Approximate Entropy: m=3 r=0.7,Conduction Delay: set_thresh=False,Energy Ratio by Chunks: num_segments=10 segment_focus=2,Index Mass Quantile: q=0.6,Label 1,Label 2,Location of Maximum Energy: M=14,Maximum Absolute Value,Normalised Standard Deviation,Number of Peaks: set_thresh=False,Number of Peaks: set_thresh=True,Peaks Between Min and Max,Percentage Fractionation: thresh=0.01,Power Spectral Entropy,Power Spectral Entropy Around Maximum Energy,Ratio Beyond 5xSTD,Sample Entropy Around Max Energy: width=60 r=0.025,Spectral Centroid,Spectral Centroid Around Maximum Energy,Standard Deviation
281,-0.0011395773029027056,25,0.9902496530657653,0.16,0,0,26,0.0,-0.02872218005066532,0,0,0,0.666666666666667,-0.12446001434817955,-0.5547960821455038,0.02,0.10726942796538967,-3.2940013158644526,-1.110051889249978,-0.0287970424633473
282,-0.04080117703159458,-7,-0.003022616775731591,-0.06666666666666668,0,0,-8,0.0,0.022189950357714622,-1,0,0,-2.0,0.5250027065452576,-0.7312039597132265,0.0,-0.09649012094417345,4.675581624408931,-1.686562587122876,0.02197182819874427
283,-0.05005541548810688,-7,-0.001868840503969165,-0.053333333333333344,0,0,-7,0.0,0.021294499462110095,-1,0,0,-2.0,0.20637988101882954,-0.8538706298963621,0.0,-0.07842865181020246,3.158577405438276,-1.5683315510756524,0.02107858825391143
284,-0.04038745059150062,-7,0.0010502438982284605,-0.046666666666666676,0,0,-7,0.0,0.011950037045696055,0,0,0,-1.333333333333333,-0.07029258893076484,-0.8978699953238234,0.0,-0.03310433768641069,3.1953115633672233,-2.2775267012990783,0.011721474665695675
285,-0.04069375961748434,-6,-1.234100464465003e-06,-0.053333333333333344,0,0,-8,0.0,0.022576638656958886,0,0,1,-4.0,0.26820959306019976,0.23122367668036325,0.0,-0.026039193440848735,1.7402736397133864,0.6061711941236396,0.02234872377015093
286,-0.05919674483644355,-5,-0.0014619677604304228,-0.046666666666666676,0,0,-6,0.0,0.001099990520839117,0,0,0,-2.0,-0.22395063024685147,-0.5310987008121653,0.0,0.03936415309648886,-1.4889172624547804,-1.2449750549676413,0.0008708851016393793
287,0.028965004767582347,-5,0.006511789530318366,-0.026666666666666672,0,0,-5,-2512.0,-0.04937354861413981,1,0,1,-0.6666666666666661,-0.16242928691221614,-1.1409552206699196,0.013333333333333334,-0.06241542408582426,-2.12258623593576,-1.4112377238732359,-0.04958370677118562
288,0.0688056036155793,-3,0.01107086272389525,-0.026666666666666672,1,1,-4,-3904.0,-0.03684653662019405,2,0,0,8.000000000000002,-0.0959035084939801,-0.47158601244494447,0.013333333333333334,0.46213234424526184,-3.4722454440555115,-1.0089091808257744,-0.03707684394373359
289,-0.05966647726216556,-10,-0.009479538649823533,-0.06000000000000001,0,0,-9,2112.0,-0.016248864434723898,-1,0,0,0.6666666666666665,-0.18027954938807333,-1.186391727485339,0.006666666666666667,-0.10205420800042551,-0.4378465296333225,-2.2534719787904813,-0.016245694729168453
290,-0.06690490683853989,-9,-0.009487153075407859,-0.06000000000000001,0,0,-7,2112.0,0.010027060272886273,-1,0,0,0.0,-0.14961932721575977,-1.0060276153479082,0.013333333333333332,-0.15485803239339666,0.24708694858647817,-1.2274612593898908,0.010036009010206487
291,-0.0670200277193419,-10,-0.009437906613540716,-0.06000000000000001,0,0,-9,2112.0,0.0005473536664127032,-1,0,0,0.6666666666666665,-0.23572699755226623,-0.3963244035358775,0.013333333333333332,-0.11798097530375579,0.2920408388832172,-0.8713019213135391,0.0005336802727747003
292,-0.04918951032761898,-10,-0.009436802730993893,-0.06000000000000001,0,0,-9,2112.0,0.005441758070043962,-1,0,1,-0.6666666666666665,-0.29024360989243103,-1.3493500688932298,0.006666666666666667,-0.14567041034260678,-1.2223135191517756,-1.846436844681988,0.0054425024250855936
293,-0.06721528592077286,-11,-0.009480944926784963,-0.06666666666666668,0,0,-9,2112.0,-0.0021237628323259594,-1,0,0,0.0,-0.5090947087887834,-0.8964173080509843,0.006666666666666667,-0.049437896425206074,-3.606764449573374,-2.070476285356112,-0.0021230474263512766
294,-0.06650702561044619,-10,-0.008834492245975415,-0.053333333333333344,0,0,-7,2112.0,-0.002463301225515885,-1,0,0,1.3333333333333335,-0.4786450754804443,-1.0938976004107532,0.006666666666666667,-0.0498115812124966,-2.121441470879329,-2.6320888946428855,-0.002423915742117283
295,-0.06733678585485608,-12,-0.009080093412633779,-0.07333333333333333,0,0,-9,2112.0,-0.01275158072396032,-2,0,0,-3.3333333333333335,-0.030982044486482785,-0.8819616514031976,0.006666666666666667,-0.10307419739140793,3.138003956253204,-1.6518389791577737,-0.012466193976295031
296,-0.025895040588391538,-3,0.0011726142492213387,-0.01333333333333335,0,0,-3,2112.0,0.02271178571360838,-1,0,0,0.0,-0.48670556849698343,-0.18621846969577582,0.0,0.06827663591444832,-4.380090947575907,-0.021343295770428483,0.02271295639859716
297,-0.013637613294251949,-6,0.0014939736565785702,-0.01333333333333335,0,0,-4,-2720.0,0.02898049075256126,1,0,0,6.0,-0.8665891713611606,-0.9523799763453558,-0.006666666666666667,0.12919119401453402,-4.211614055272793,-1.9020802391098504,0.028980416232686657
298,-0.05767492706909583,-12,-0.008317512735005713,-0.06666666666666668,0,0,-9,2112.0,0.05786372743343918,-1,0,0,0.6666666666666665,-0.5627156742782962,-0.6826140071039077,-0.006666666666666667,-0.1218786457852701,-2.5781980375789146,-1.159443637365201,0.057865012048637476
299,-0.03934114915577036,-5,0.005962091145630859,-0.006666666666666682,0,0,-3,-8864.0,0.062079495233087506,1,0,0,6.0,-0.9774223233799777,-0.8402036917589686,-0.006666666666666667,0.14028155787139143,-5.5458797635564885,-1.0815950736497264,0.062011451459957734
300,-0.013192953899473836,-3,-0.004212140496446619,-0.006666666666666682,0,0,-1,2112.0,0.03060779608472,-1,0,0,2.0000000000000004,-0.72560745737999,-1.4267493209912772,-0.006666666666666667,-0.000533570488425894,-4.634289160337007,-2.7233105296143334,0.030628420182660515
301,-0.033618638800681944,-9,-0.0005564726631649283,-0.07333333333333333,0,0,-9,16286.0,-0.01489363958294343,-2,0,0,-4.0,0.018276816090242676,-0.5929999500517682,0.0,-0.02607743973652775,0.5573763143337445,-0.6383294761950102,-0.014873568345003002
302,-0.01717446303318315,-10,-9.775003274895716e-06,-0.08000000000000002,0,0,-9,13913.0,-0.028185166569089537,-2,0,0,-8.666666666666666,0.2951866949461035,-0.4177583022156428,0.0,-0.09059606869377532,1.6702662480888506,-0.07998537432089536,-0.028183020323510166
